
 hhqi                  'Household questionnaire number'                                                  
 w1_h_e1_3_2           'e1_3_2 - Amount spent on Samp in last 30 days'                                   
 w1_h_e1_4_2           'e1_4_2 - Value of Samp received as gifts in last 30 days'                        
 w1_h_e1_5_2           'e1_5_2 - Value of Samp received as payment in last 30 days'                      
 w1_h_e1_6_2           'e1_6_2 - Value of Samp eaten from own production/own shop in last 30days'        
 w1_h_e1_2_3           'e1_2_3 - Flour and bread was consumed in last 30 days'                           
 w1_h_e1_3_3           'e1_3_3 - Amount spent on Flour and bread in last 30 days'                        
 w1_h_e1_4_3           'e1_4_3 - Value of Flour and bread received as gifts in last 30 days'             
 w1_h_e1_5_3           'e1_5_3 - Value of Flour and bread received as payment in last 30 days'           
 w1_h_e1_6_3           'e1_6_3 - Value of Flour & bread eaten own production/own shop in last 30days'    
 w1_h_e1_2_4           'e1_2_4 - Rice was consumed in last 30 days'                                      
 w1_h_e1_3_4           'e1_3_4 - Amount spent on Rice in last 30 days'                                   
 w1_h_e1_4_4           'e1_4_4 - Value of Rice received as gifts in last 30 days'                        
 w1_h_e1_5_4           'e1_5_4 - Value of Rice received as payment in last 30 days'                      
 w1_h_e1_6_4           'e1_6_4 - Value of Rice eaten from own production and/or own shop in last 30days' 
 w1_h_e1_2_5           'e1_2_5 - Pasta was consumed in last 30 days'                                     
 w1_h_e1_3_5           'e1_3_5 - Amount spent on Pasta in last 30 days'                                  
 w1_h_e1_4_5           'e1_4_5 - Value of Pasta received as gifts in last 30 days'                       
 w1_h_e1_5_5           'e1_5_5 - Value of Pasta received as payment in last 30 days'                     
 w1_h_e1_6_5           'e1_6_5 - Value of Pasta eaten from own production/own shop in last 30days'       
 w1_h_e1_2_6           'e1_2_6 - Biscuits, cakes, rusks was consumed in last 30 days'                    
 w1_h_e1_3_6           'e1_3_6 - Amount spent on Biscuits, cakes, rusks in last 30 days'                 
 w1_h_e1_4_6           'e1_4_6 - Value of Biscuits, cakes, rusks received as gifts in last 30 days'      
 w1_h_e1_5_6           'e1_5_6 - Value of Biscuits, cakes, rusks received as payment in last 30 days'    
 w1_h_e1_6_6           'e1_6_6 - Value Biscuits,cakes,rusks eaten own production/own shop in last 30days'
 w1_h_e1_2_7           'e1_2_7 - Red Meat was consumed in last 30 days'                                  
 w1_h_e1_3_7           'e1_3_7 - Amount spent on Red Meat in last 30 days'                               
 w1_h_e1_4_7           'e1_4_7 - Value of Red Meat received as gifts in last 30 days'                    
 w1_h_e1_5_7           'e1_5_7 - Value of Red Meat received as payment in last 30 days'                  
 w1_h_e1_6_7           'e1_6_7 - Value of Red Meat eaten from own production/own shop in last 30days'    
 w1_h_e1_2_8           'e1_2_8 - Canned red meat was consumed in last 30 days'                           
 w1_h_e1_3_8           'e1_3_8 - Amount spent on Canned red meat in last 30 days'                        
 w1_h_e1_4_8           'e1_4_8 - Value of Canned red meat received as gifts in last 30 days'             
 w1_h_e1_5_8           'e1_5_8 - Value of Canned red meat received as payment in last 30 days'           
 w1_h_e1_6_8           'e1_6_8 - Value Canned red meat eaten from own production/own shop in last 30days'
 w1_h_e1_2_9           'e1_2_9 - Chicken was consumed in last 30 days'                                   
 w1_h_e1_3_9           'e1_3_9 - Amount spent on Chicken in last 30 days'                                
 w1_h_e1_4_9           'e1_4_9 - Value of Chicken received as gifts in last 30 days'                     
 w1_h_e1_5_9           'e1_5_9 - Value of Chicken received as payment in last 30 days'                   
 w1_h_e1_6_9           'e1_6_9 - Value of Chicken eaten from own production/own shop in last 30days'     
 w1_h_e1_2_10          'e1_2_10 - Fresh fish and shellfish was consumed in last 30 days'                 
 w1_h_e1_3_10          'e1_3_10 - Amount spent on Fresh fish and shellfish in last 30 days'              
 w1_h_e1_4_10          'e1_4_10 - Value of Fresh fish and shellfish received as gifts in last 30 days'   
 w1_h_e1_5_10          'e1_5_10 - Value of Fresh fish and shellfish received as payment in last 30 days' 
 w1_h_e1_6_10          'e1_6_10 - Value of fish & shellfish eaten own production/own shop in last 30days'
 w1_h_e1_2_11          'e1_2_11 - Tinned fish was consumed in last 30 days'                              
 w1_h_e1_3_11          'e1_3_11 - Amount spent on Tinned fish in last 30 days'                           
 w1_h_e1_4_11          'e1_4_11 - Value of Tinned fish received as gifts in last 30 days'                
 w1_h_e1_5_11          'e1_5_11 - Value of Tinned fish received as payment in last 30 days'              
 w1_h_e1_6_11          'e1_6_11 - Value of Tinned fish eaten from own production/own shop in last 30days'
 w1_h_e1_2_12          'e1_2_12 - Dried pulses was consumed in last 30 days'                             
 w1_h_e1_3_12          'e1_3_12 - Amount spent on Dried pulses in last 30 days'                          
 w1_h_e1_4_12          'e1_4_12 - Value of Dried pulses received as gifts in last 30 days'               
 w1_h_e1_5_12          'e1_5_12 - Value of Dried pulses received as payment in last 30 days'             
 w1_h_e1_6_12          'e1_6_12 - Value of Dried pulses eaten own production/own shop in last 30days'    
 w1_h_e1_2_13          'e1_2_13 - Potatoes was consumed in last 30 days'                                 
 w1_h_e1_3_13          'e1_3_13 - Amount spent on Potatoes in last 30 days'                              
 w1_h_e1_4_13          'e1_4_13 - Value of Potatoes received as gifts in last 30 days'                   
 w1_h_e1_5_13          'e1_5_13 - Value of Potatoes received as payment in last 30 days'                 
 w1_h_e1_6_13          'e1_6_13 - Value of Potatoes eaten from own production / own shop in last 30 days'
 w1_h_e1_2_14          'e1_2_14 - Other vegetables was consumed in last 30 days'                         
 w1_h_e1_3_14          'e1_3_14 - Amount spent on Other vegetables in last 30 days'                      
 w1_h_e1_4_14          'e1_4_14 - Value of Other Vegetables received as gifts in last 30 days'           
 w1_h_e1_5_14          'e1_5_14 - Value of Other Vegetables received as payment in last 30 days'         
 w1_h_e1_6_14          'e1_6_14 - Value Other Vegetables eaten own production/own shop in last 30 days'  
 w1_h_e1_2_15          'e1_2_15 - Fruits and nuts was consumed in last 30 days'                          
 w1_h_e1_3_15          'e1_3_15 - Amount spent on Fruits and nuts in last 30 days'                       
 w1_h_e1_4_15          'e1_4_15 - Value of Fruits and nuts received as gifts in last 30 days'            
 w1_h_e1_5_15          'e1_5_15 - Value of Fruits & Nuts received as payment in last 30 days'            
 w1_h_e1_6_15          'e1_6_15 - Value Fruits & Nuts eaten own production/own shop in last 30 days'     
 w1_h_e1_2_16          'e1_2_16 - Cooking oil was consumed in last 30 days'                              
 w1_h_e1_3_16          'e1_3_16 - Amount spent on Cooking oil in last 30 days'                           
 w1_h_e1_4_16          'e1_4_16 - Value of Oil for cooking received as gifts in last 30 days'            
 w1_h_e1_5_16          'e1_5_16 - Value of Oil for cooking received as payment in last 30 days'          
 w1_h_e1_6_16          'e1_6_16 - Value Oil for cooking eaten own production/own shop in last 30 days'   
 w1_h_e1_2_17          'e1_2_17 - Other fats was consumed in last 30 days'                               
 w1_h_e1_3_17          'e1_3_17 - Amount spent on other fats in last 30 days'                            
 w1_h_e1_4_17          'e1_4_17 - Value of other fats received as gifts in last 30 days'                 
 w1_h_e1_5_17          'e1_5_17 - Value of other fats received as payment in last 30 days'               
 w1_h_e1_6_17          'e1_6_17 - Value Marg, Butter, Fats eaten own production/own shop in last 30 days'
 w1_h_e1_2_18          'e1_2_18 - Peanut butter was consumed in last 30 days'                            
 w1_h_e1_3_18          'e1_3_18 - Amount spent on Peanut butter in last 30 days'                         
 w1_h_e1_4_18          'e1_4_18 - Value of Peanut butter received as gifts in last 30 days'              
 w1_h_e1_5_18          'e1_5_18 - Value of Peanut butter received as payment in last 30 days'            
 w1_h_e1_6_18          'e1_6_18 - Value of Peanut butter eaten own production/own shop in last 30 days'  
 w1_h_e1_2_19          'e1_2_19 - Dairy products was consumed in last 30 days'                           
 w1_h_e1_3_19          'e1_3_19 - Amount spent on Dairy products in last 30 days'                        
 w1_h_e1_4_19          'e1_4_19 - Value of Dairy products received as gifts in last 30 days'             
 w1_h_e1_5_19          'e1_5_19 - Value of Dairy products received as payment in last 30 days'           
 w1_h_e1_6_19          'e1_6_19 - Value Dairy products from own production/own shop in last 30days'      
 w1_h_e1_2_20          'e1_2_20 - Eggs was consumed in last 30 days'                                     
 w1_h_e1_3_20          'e1_3_20 - Amount spent on Eggs in last 30 days'                                  
 w1_h_e1_4_20          'e1_4_20 - Value of Eggs received as gifts in last 30 days'                       
 w1_h_e1_5_20          'e1_5_20 - Value of Eggs received as payment in last 30 days'                     
 w1_h_e1_6_20          'e1_6_20 - Value of Eggs eaten from own production/own shop in last 30days'       
 w1_h_e1_2_21          'e1_2_21 - Sugar, jam, honey chocolates and sweets was consumed in last 30 days'  
 w1_h_e1_3_21          'e1_3_21 - Amount spent on Sugar, jam, honey chocolates and sweets in last 30days'
 w1_h_e1_4_21          'e1_4_21 - Value Sugar, jam, honey chocolates, sweets received gifts last 30days' 
 w1_h_e1_5_21          'e1_5_21 - Value Sugar, jam, honey chocolates, sweets received paymnt last 30days'
 w1_h_e1_6_21          'e1_6_21 - Value Sugar, jam, etc. eaten own production/own shop in last 30days'   
 w1_h_e1_2_22          'e1_2_22 - Soft drinks and juices was consumed in last 30 days'                   
 w1_h_e1_3_22          'e1_3_22 - Amount spent on Soft drinks and juices in last 30 days'                
 w1_h_e1_4_22          'e1_4_22 - Value of Soft drinks and juices received as gifts in last 30 days'     
 w1_h_e1_5_22          'e1_5_22 - Value of Soft drinks and juices received as payment in last 30 days'   
 w1_h_e1_6_22          'e1_6_22 - Value Soft drinks & juices eaten own production/own shop in last 30day'
 w1_h_e1_2_23          'e1_2_23 - Tinned fruit was consumed in last 30 days'                             
 w1_h_e1_3_23          'e1_3_23 - Amount spent on Tinned fruit in last 30 days'                          
 w1_h_e1_4_23          'e1_4_23 - Value of Tinned fruit received as gifts in last 30 days'               
 w1_h_e1_5_23          'e1_5_23 - Value of Tinned fruit received as payment in last 30 days'             
 w1_h_e1_6_23          'e1_6_23 - Value of Tinned fruit eaten own productionown shop in last 30days'     
 w1_h_e1_2_24          'e1_2_24 - Breakfast cereal and porridge was consumed in last 30 days'            
 w1_h_e1_3_24          'e1_3_24 - Amount spent on Breakfast cereal and porridge in last 30 days'         
 w1_h_e1_4_24          'e1_4_24 - Value of Breakfast cereal & porridge received as gifts in last 30days' 
 w1_h_e1_5_24          'e1_5_24 - Value of Breakfast cereal & porridge received as payment last 30days'  
 w1_h_e1_6_24          'e1_6_24 - Value Cereal & porridge from own production/own shop in last 30days'   
 w1_h_e1_2_25          'e1_2_25 - Baby food and formula was consumed in last 30 days'                    
 w1_h_e1_3_25          'e1_3_25 - Amount spent on Baby food and formula in last 30 days'                 
 w1_h_e1_4_25          'e1_4_25 - Value of Baby food and formula received as gifts in last 30 days'      
 w1_h_e1_5_25          'e1_5_25 - Value of Baby food and formula received as payment in last 30 days'    
 w1_h_e1_6_25          'e1_6_25 - Value Baby fd & formula eaten from own production/own shop last 30days'
 w1_h_e1_2_26          'e1_2_26 - Salt and spices was consumed in last 30 days'                          
 w1_h_e1_3_26          'e1_3_26 - Amount spent on Salt and spices in last 30 days'                       
 w1_h_e1_4_26          'e1_4_26 - Value of Salt and spices received as gifts in last 30 days'            
 w1_h_e1_5_26          'e1_5_26 - Value of Salt and spices received as payment in last 30 days'          
 w1_h_e1_6_26          'e1_6_26 - Value Salt and spices eaten from own production/own shop last 30days'  
 w1_h_e1_2_27          'e1_2_27 - Soya products was consumed in last 30 days'                            
 w1_h_e1_3_27          'e1_3_27 - Amount spent on Soya products in last 30 days'                         
 w1_h_e1_4_27          'e1_4_27 - Value of Soya products received as gifts in last 30 days'              
 w1_h_e1_5_27          'e1_5_27 - Value of Soya products received as payment in last 30 days'            
 w1_h_e1_6_27          'e1_6_27 - Value Soya products eaten from own production/own shop in last 30days' 
 w1_h_e1_2_28          'e1_2_28 - Coffee and tea was consumed in last 30 days'                           
 w1_h_e1_3_28          'e1_3_28 - Amount spent on Coffee and tea in last 30 days'                        
 w1_h_e1_4_28          'e1_4_28 - Value of Coffee and tea received as gifts in last 30 days'             
 w1_h_e1_5_28          'e1_5_28 - Value of Coffee and tea received as payment in last 30 days'           
 w1_h_e1_6_28          'e1_6_28 - Value Coffee and tea eaten from own production/own shop in last 30days'
 w1_h_e1_2_29          'e1_2_29 - Food hampers was consumed in last 30 days'                             
 w1_h_e1_3_29          'e1_3_29 - Amount spent on Food hampers in last 30 days'                          
 w1_h_e1_4_29          'e1_4_29 - Value of Food hampers received as gifts in last 30 days'               
 w1_h_e1_5_29          'e1_5_29 - Value of Food hampers received as payment in last 30 days'             
 w1_h_e1_6_29          'e1_6_29 - Value Food hampers eaten from own production/own shop in last 30days'  
 w1_h_e1_2_30          'e1_2_30 - Readymade meals was consumed in last 30 days'                          
 w1_h_e1_3_30          'e1_3_30 - Amount spent on Readymade meals in last 30 days'                       
 w1_h_e1_4_30          'e1_4_30 - Value of Readymade meals received as gifts in last 30 days'            
 w1_h_e1_5_30          'e1_5_30 - Value of Readymade meals received as payment in last 30 days'          
 w1_h_e1_6_30          'e1_6_30 - Value Readymade meals eaten own production/own shop in last 30days'    
 w1_h_e1_2_31          'e1_2_31 - Meals prepared outside the home was consumed in last 30 days'          
 w1_h_e1_3_31          'e1_3_31 - Amount spent on Meals prepared outside the home in last 30 days'       
 w1_h_e1_4_31          'e1_4_31 - Value Meals made outside the home received as gifts in last 30days'    
 w1_h_e1_5_31          'e1_5_31 - Value of Meals made outside home received as payment in last 30days'   
 w1_h_e1_6_31          'e1_6_31 - Value Meals made outside home own production/own shop in last 30days'  
 w1_h_e1_2_32          'e1_2_32 - Other food expenditure was consumed in last 30 days'                   
 w1_h_e1_3_32          'e1_3_32 - Amount spent on Other food expenditure in last 30 days'                
 w1_h_e1_4_32          'e1_4_32 - Value of Other food expenditure received as gifts in last 30 days'     
 w1_h_e1_5_32          'e1_5_32 - Value of Other food expenditure received as payment in last 30 days'   
 w1_h_e1_6_32          'e1_6_32 - Value Other food eaten from own production/own shop in last 30days'    
 w1_h_e2_1_1           'e2_1_1 - Household spent on cigarettes and tobacco in the last 30 days'          
 w1_h_e2_2_1           'e2_2_1 - Amount spent on cigarettes and tobacco in last 30 days'                 
 w1_h_e2_1_2           'e2_1_2 - Household spent on Beer, wine and spirits in the last 30 days'          
 w1_h_e2_2_2           'e2_2_2 - Amount spent on Beer, wine and spirits in last 30 days'                 
 w1_h_e2_1_3           'e2_1_3 - Household spent on Entertainment  in the last 30 days'                  
 w1_h_e2_2_3           'e2_2_3 - Amount spent on Entertainment  in last 30 days'                         
 w1_h_e2_1_4           'e2_1_4 - Household spent on Sport  in the last 30 days'                          
 w1_h_e2_2_4           'e2_2_4 - Amount spent on Sport  in last 30 days'                                 
 w1_h_e2_1_5           'e2_1_5 - Household spent on Personal care  in the last 30 days'                  
 w1_h_e2_2_5           'e2_2_5 - Amount spent on Personal care  in last 30 days'                         
 w1_h_e2_1_6           'e2_1_6 - Household spent on Jewellery and watches in the last 30 days'           
 w1_h_e2_2_6           'e2_2_6 - Amount spent on Jewellery and watches in last 30 days'                  
 w1_h_e2_1_7           'e2_1_7 - Household spent on literary materials in the last 30 days'              
 w1_h_e2_2_7           'e2_2_7 - Amount spent on literary materials in last 30 days'                     
 w1_h_e2_1_8           'e2_1_8 - Household spent on cellphone experiences in the last 30 days'           
 w1_h_e2_2_8           'e2_2_8 - Amount spent on cellphone expenses in last 30 days'                     
 w1_h_e2_1_9           'e2_1_9 - Household spent on  telephone expenses in the last 30 days'             
 w1_h_e2_2_9           'e2_2_9 - Amount spent on telephone expenses in last 30 days'                     
 w1_h_e2_1_10          'e2_1_10 - Household spent on lotto, gambling and horse-racing in the last 30days'
 w1_h_e2_2_10          'e2_2_10 - Amount spent on lotto, gambling and horse-racing in last 30 days'      
 w1_h_e2_1_11          'e2_1_11 - Household spent on internet in the last 30 days'                       
 w1_h_e2_2_11          'e2_2_11 - Amount spent on internet in last 30 days'                              
 w1_h_e2_1_12          'e2_1_12 - Household spent on trips and holidays in the last 30 days'             
 w1_h_e2_2_12          'e2_2_12 - Amount spent on trips and holidays in last 30 days'                    
 w1_h_e2_1_13          'e2_1_13 - Household spent on ceromonies in the last 30 days'                     
 w1_h_e2_2_13          'e2_2_13 - Amount spent on ceromonies in last 30 days'                            
 w1_h_e2_1_14          'e2_1_14 - Household spent on car payments in the last 30 days'                   
 w1_h_e2_2_14          'e2_2_14 - Amount spent on car payments in last 30 days'                          
 w1_h_e2_1_15          'e2_1_15 - Household spent on Petrol, oil and car service in the last 30 days'    
 w1_h_e2_2_15          'e2_2_15 - Amount spent on Petrol, oil and car service in last 30 days'           
 w1_h_e2_1_16          'e2_1_16 - Household spent on transport in the last 30 days'                      
 w1_h_e2_2_16          'e2_2_16 - Amount spent on transport in last 30 days'                             
 w1_h_e2_1_17          'e2_1_17 - Household spent on water in the last 30 days'                          
 w1_h_e2_2_17          'e2_2_17 - Amount spent on water in last 30 days'                                 
 w1_h_e2_1_18          'e2_1_18 - Household spent on Electricity in the last 30 days'                    
 w1_h_e2_2_18          'e2_2_18 - Amount spent on Electricity in last 30 days'                           
 w1_h_e2_1_19          'e2_1_19 - Household spent on other energy sources in the last 30 days'           
 w1_h_e2_2_19          'e2_2_19 - Amount spent on other energy sources in last 30 days'                  
 w1_h_e2_1_20          'e2_1_20 - Household spent on municipal rates in the last 30 days'                
 w1_h_e2_2_20          'e2_2_20 - Amount spent on municipal rates in last 30 days'                       
 w1_h_e2_1_21          'e2_1_21 - Household spent on levies in the last 30 days'                         
 w1_h_e2_2_21          'e2_2_21 - Amount spent on levies in last 30 days'                                
 w1_h_e2_1_22          'e2_1_22 - Household spent on life insurance in the last 30 days'                 
 w1_h_e2_2_22          'e2_2_22 - Amount spent on life insurance in last 30 days'                        
 w1_h_e2_1_23          'e2_1_23 - Household spent on funeral policies in the last 30 days'               
 w1_h_e2_2_23          'e2_2_23 - Amount spent on funeral policies in last 30 days'                      
 w1_h_e2_1_24          'e2_1_24 - Household spent on educational policies in the last 30 days'           
 w1_h_e2_2_24          'e2_2_24 - Amount spent on educational policies in last 30 days'                  
 w1_h_e2_1_25          'e2_1_25 - Household spent on short-term insurance in the last 30 days'           
 w1_h_e2_2_25          'e2_2_25 - Amount spent on short-term insurance in last 30 days'                  
 w1_h_e2_1_26          'e2_1_26 - Household spent on kitchen equipment in the last 30 days'              
 w1_h_e2_2_26          'e2_2_26 - Amount spent on kitchen equipment in last 30 days'                     
 w1_h_e2_1_27          'e2_1_27 - Household spent on home maintenance in the last 30 days'               
 w1_h_e2_2_27          'e2_2_27 - Amount spent on home maintenance in last 30 days'                      
 w1_h_e2_1_28          'e2_1_28 - Household spent on linen in the last 30 days'                          
 w1_h_e2_2_28          'e2_2_28 - Amount spent on linen in last 30 days'                                 
 w1_h_e2_1_29          'e2_1_29 - Household spent on fabric in the last 30 days'                         
 w1_h_e2_2_29          'e2_2_29 - Amount spent on fabric in last 30 days'                                
 w1_h_e2_1_30          'e2_1_30 - Household spent on hire purchase payments in the last 30 days'         
 w1_h_e2_2_30          'e2_2_30 - Amount spent on hire purchase payments in last 30 days'                
 w1_h_e2_1_31          'e2_1_31 - Household amount spent furniture and appliances in the lasst 30days'   
 w1_h_e2_2_31          'e2_2_31 - Amount spent on furniture and other appliances in last 30 days'        
 w1_h_e2_1_32          'e2_1_32 - Household spent on  shoes and clothes in the last 30 days'             
 w1_h_e2_2_32          'e2_2_32 - Amount spent on shoes and clothes in last 30 days'                     
 w1_h_e2_1_33          'e2_1_33 - Household spent account payments/clothes and shoes in the last 30days' 
 w1_h_e2_2_33          'e2_2_33 - Amount spent on account payments on clothes and shoes in last 30 days' 
 w1_h_e2_1_34          'e2_1_34 - Household spent on clothing fabric in the last 30 days'                
 w1_h_e2_2_34          'e2_2_34 - Amount spent on clothing fabric in last 30 days'                       
 w1_h_e2_1_35          'e2_1_35 - Household spent on health insurance in the last 30 days'               
 w1_h_e2_2_35          'e2_2_35 - Amount spent on health insurance in last 30 days'                      
 w1_h_e2_1_36          'e2_1_36 - Household spent on medical professionals in the last 30 days'          
